category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
 Texture Enhancer,Althaea,rosea,,,,,Good
 Plant Extracts,Althaea,rosea,,,,,Good
Skin-Soothing,Althea,officinalis,,,,,Best
 Plant Extracts,Althea,officinalis,,,,,Best
Texture Enhancer,alumina,,,,,,Good
 Scrub Agents,alumina,,,,,,Good
 Absorbent,alumina,,,,,,Good
Uncategorized,aluminum,,,,,,Good
Texture Enhancer,Aluminum,hydroxide,,,,,Good
 Absorbent,Aluminum,hydroxide,,,,,Good
Absorbent,aluminum,magnesium,silicate,,,,Good
Coloring Agents/Pigments,aluminum,powder,,,,,Good
Absorbent,aluminum,silicate,,,,,Good
 Scrub Agents,aluminum,silicate,,,,,Good
Texture Enhancer,aluminum,starch,octenylsuccinate,,,,Good
 Absorbent,aluminum,starch,octenylsuccinate,,,,Good
Texture Enhancer,aluminum,stearate,,,,,Good
Absorbent,aluminum,sulfate,,,,,Poor
 Antioxidants,aluminum,sulfate,,,,,Poor
Antioxidants,amino,acid,,,,,Best
 Skin-Replenishing,amino,acid,,,,,Best
Skin-Soothing,aminobutyric,acid,,,,,Average
Uncategorized,aminomethyl,propanediol,,,,,Good
Uncategorized,aminomethyl,propanol,,,,,Good
Texture Enhancer,ammonium,acryloyldimethyltaurate/VP,copolymer,,,,Good
Absorbent,ammonium,chloride,,,,,Poor
Exfoliant,ammonium,glycolate,,,,,Best
Uncategorized,ammonium,hydroxide,,,,,Average
Cleansing Agents,ammonium,laureth,sulfate,,,,Good
Cleansing Agents,ammonium,lauryl,sulfate,,,,Good
Silicones,amodimethicone,,,,,,Good
 Emollients,amodimethicone,,,,,,Good
 Texture Enhancer,amodimethicone,,,,,,Good
Exfoliant,amygdalic,acid,,,,,Good
 Antioxidants,amygdalic,acid,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,cinnamate,,,,,Poor
Fragrance: Synthetic and Fragrant Plant Extracts,amyl,salicylate,,,,,Poor
Plant Extracts,amyris,oil,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,amyris,oil,,,,,Poor
Plant Extracts,Anacyclus,pyrethrum,,,,,Poor
Antioxidants,Anacystis,nidulans,extract,,,,Good
 Plant Extracts,Anacystis,nidulans,extract,,,,Good
 Texture Enhancer,Anacystis,nidulans,extract,,,,Good
 Emollients,Anacystis,nidulans,extract,,,,Good
Plant Extracts,Ananas,sativus,fruit,extract,,,Good
 Exfoliant,Ananas,sativus,fruit,extract,,,Good
Skin-Soothing,andiroba,oil,,,,,Good
 Plant Extracts,andiroba,oil,,,,,Good
Plant Extracts,Anethum,graveolens,,,,,Average
 Fragrance: Synthetic and Fragrant Plant Extracts,Anethum,graveolens,,,,,Average
Antioxidants,Angelica,archangelica,root,oil,,,Poor
 Plant Extracts,Angelica,archangelica,root,oil,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Angelica,archangelica,root,oil,,,Poor
Antioxidants,Angelica,polymorpha,sinensis,root,extract,,Poor
 Plant Extracts,Angelica,polymorpha,sinensis,root,extract,,Poor
Hydration,anhydroxylitol,,,,,,GOOD
Fragrance: Synthetic and Fragrant Plant Extracts,anisaldehyde,,,,,,Poor
Antioxidants,anise,,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,anise,,,,,,Poor
Plant Extracts,annato,extract,,,,,Good
Skin-Soothing,Anthemis,nobilis,flower,extract,,,Best
 Antioxidants,Anthemis,nobilis,flower,extract,,,Best
Antioxidants,anthocyanin,,,,,,Best
 Plant Extracts,anthocyanin,,,,,,Best
Antioxidants,antioxidant,,,,,,Best
Antioxidants,apple,fruit,extract,,,,Best
 Plant Extracts,apple,fruit,extract,,,,Best
Scrub Agents,apricot,kernel,,,,,Average
Plant Extracts,apricot,kernel,oil,,,,Best
 Emollients,apricot,kernel,oil,,,,Best
Texture Enhancer,arachidic,acid,,,,,Good
 Emollients,arachidic,acid,,,,,Good
Texture Enhancer,arachidyl,alcohol,,,,,Good
 Emollients,arachidyl,alcohol,,,,,Good
Cleansing Agents,arachidyl,glucoside,,,,,Good
Texture Enhancer,arachidyl,propionate,,,,,Good
 Emollients,arachidyl,propionate,,,,,Good
Skin-Soothing,Arachis,hypogaea,extract,,,,Best
 Emollients,Arachis,hypogaea,extract,,,,Best
 Plant Extracts,Arachis,hypogaea,extract,,,,Best
Plant Extracts,arbutin,,,,,,Best
Skin-Soothing,Arctium,lappa,,,,,Best
 Plant Extracts,Arctium,lappa,,,,,Best
 Antioxidants,Arctium,lappa,,,,,Best
Plant Extracts,Arctium,majus,,,,,Best
 Antioxidants,Arctium,majus,,,,,Best
 Skin-Soothing,Arctium,majus,,,,,Best
Antioxidants,Arctostaphylos,uva,ursi,leaf,,,Best
 Plant Extracts,Arctostaphylos,uva,ursi,leaf,,,Best
Antioxidants,Argania,spinosa,,,,,Best
 Plant Extracts,Argania,spinosa,,,,,Best
Antioxidants,argan,oil,,,,,Best
 Emollients,argan,oil,,,,,Best
 Plant Extracts,argan,oil,,,,,Best
Antioxidants,arginine,,,,,,Good
Skin-Restoring,Argireline,,,,,,Average
Plant Extracts,arnica,extract,,,,,Poor
Fragrance: Synthetic and Fragrant Plant Extracts,aroma/flavor,,,,,,Average
Texture Enhancer,arrowroot,,,,,,Average
Antioxidants,artemia,extract,,,,,Good
 Plant Extracts,artemia,extract,,,,,Good
 Emollients,artemia,extract,,,,,Good
 Texture Enhancer,artemia,extract,,,,,Good
Plant Extracts,Artemisia,absinthium,extract,,,,Average
Plant Extracts,Artemisia,vulgaris,,,,,Average
Antioxidants,Ascophyllum,nodosum,,,,,Good
 Emollients,Ascophyllum,nodosum,,,,,Good
 Plant Extracts,Ascophyllum,nodosum,,,,,Good
 Texture Enhancer,Ascophyllum,nodosum,,,,,Good
Antioxidants,ascorbic,acid,,,,,Best
 Vitamins,ascorbic,acid,,,,,Best
Antioxidants,ascorbyl,glucosamine,,,,,Best
 Vitamins,ascorbyl,glucosamine,,,,,Best
Antioxidants,ascorbyl,glucoside,,,,,Best
 Vitamins,ascorbyl,glucoside,,,,,Best
Antioxidants,ascorbyl,methylsilanol,pectinate,,,,Best
 Texture Enhancer,ascorbyl,methylsilanol,pectinate,,,,Best
 Vitamins,ascorbyl,methylsilanol,pectinate,,,,Best
Antioxidants,ascorbyl,palmitate,,,,,Best
 Vitamins,ascorbyl,palmitate,,,,,Best
Antioxidants,asparagine,,,,,,Good
Antioxidants,Asparagopsis,armata,extract,,,,Good
 Emollients,Asparagopsis,armata,extract,,,,Good
 Plant Extracts,Asparagopsis,armata,extract,,,,Good
 Texture Enhancer,Asparagopsis,armata,extract,,,,Good
Antioxidants,aspartic,acid,,,,,Good
 Skin-Replenishing,aspartic,acid,,,,,Good
Antioxidants,astaxanthin,,,,,,Best
Antioxidants,astaxanthin,extract,,,,,Best
Antioxidants,Astragalus,membranaceus,,,,,Best
 Plant Extracts,Astragalus,membranaceus,,,,,Best
Antioxidants,Astragalus,sinicus,,,,,Good
 Plant Extracts,Astragalus,sinicus,,,,,Good
Emollients,Astrocaryum,murumuru,seed,butter,,,Good
 Plant Extracts,Astrocaryum,murumuru,seed,butter,,,Good
Skin-Soothing,ATP,,,,,,Best
 Skin-Restoring,ATP,,,,,,Best
Antioxidants,atractylodes,macrocephala,root,powder,,,Best
 Skin-Soothing,atractylodes,macrocephala,root,powder,,,Best
 Plant Extracts,atractylodes,macrocephala,root,powder,,,Best
Plant Extracts,Atractyloydes,lancea,root,extract,,,Average
Skin-Soothing,Avena,sativa,,,,,Best
 Plant Extracts,Avena,sativa,,,,,Best
Sunscreen Actives,avobenzone,,,,,,Best
Antioxidants,avocado,oil,,,,,Best
 Emollients,avocado,oil,,,,,Best
Plant Extracts,awapuhi,,,,,,Poor
Plant Extracts,Azadirachta,indica,,,,,Poor
 Antioxidants,Azadirachta,indica,,,,,Poor
Skin-Soothing,azelaic,acid,,,,,Best
 Antioxidants,azelaic,acid,,,,,Best
 Exfoliant,azelaic,acid,,,,,Best
Uncategorized,Azelex,,,,,,Best
Scrub Agents,azuki,beans,,,,,Average
Skin-Soothing,azulene,,,,,,Average
 Plant Extracts,azulene,,,,,,Average
 Antioxidants,azulene,,,,,,Average
Plant Extracts,babassu,oil,,,,,Good
 Emollients,babassu,oil,,,,,Good
Antioxidants,bakuchiol,,,,,,Good
 Plant Extracts,bakuchiol,,,,,,Good
Plant Extracts,balm,mint,extract,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,balm,mint,extract,,,,Poor
Plant Extracts,balsam,peru,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,balsam,peru,,,,,Poor
Uncategorized,Bambusa,vulgaris,(bamboo),leaf/stem,extract,,Best
Antioxidants,banana,extract,,,,,Average
 Plant Extracts,banana,extract,,,,,Average
Skin-Soothing,barberry,,,,,,Best
Coloring Agents/Pigments,barium,sulfate,,,,,Poor
Plant Extracts,barley,extract,,,,,Average
Emollients,batyl,alcohol,,,,,Good
Antioxidants,bay,leaf,oil,,,,Poor
 Plant Extracts,bay,leaf,oil,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,bay,leaf,oil,,,,Poor
Antioxidants,bearberry,extract,,,,,Good
Uncategorized,bee,pollen,,,,,Poor
Texture Enhancer,beeswax,,,,,,Good
 Emollients,beeswax,,,,,,Good
Antioxidants,beet,root,extract,,,,Good
 Coloring Agents/Pigments,beet,root,extract,,,,Good
 Plant Extracts,beet,root,extract,,,,Good
Thickeners/Emulsifiers,beheneth-5,,,,,,Good
Texture Enhancer,behenic,acid,,,,,Good
 Cleansing Agents,behenic,acid,,,,,Good
Texture Enhancer,behentrimonium,chloride,,,,,Good
 Emollients,behentrimonium,chloride,,,,,Good
Texture Enhancer,behenyl,alcohol,,,,,Good
Plant Extracts,Bellis,perennis,,,,,Poor
Absorbent,bentonite,,,,,,Good
Antioxidants,benzalkonium,chloride,,,,,Average
Sunscreen Actives,benzephenone-3,,,,,,Good
Preservatives,benzoic,acid,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,benzoin,extract,,,,,Poor
Sunscreen Actives,benzophenone,,,,,,Good
Preservatives,benzothonium,chloride,,,,,Good
Anti-Acne,benzoyl,peroxide,,,,,Best
Preservatives,benzyl,alcohol,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,benzyl,salicylate,,,,,Poor
Plant Extracts,Berberis,aristata,,,,,Best
 Antioxidants,Berberis,aristata,,,,,Best
Plant Extracts,bergamot,oil,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,bergamot,oil,,,,,Poor
Antioxidants,Bertholletia,excelsa,extract,,,,Good
 Plant Extracts,Bertholletia,excelsa,extract,,,,Good
Antioxidants,beta-carotene,,,,,,Good
Skin-Soothing,beta-glucan,,,,,,Best
 Antioxidants,beta-glucan,,,,,,Best
Skin-Soothing,beta,hydroxy,acid,,,,Best
 Antioxidants,beta,hydroxy,acid,,,,Best
 Exfoliant,beta,hydroxy,acid,,,,Best
Exfoliant,betaine,salicylate,,,,,Good
Skin-Soothing,beta-sitosterol,,,,,,Best
 Plant Extracts,beta-sitosterol,,,,,,Best
 Skin-Replenishing,beta-sitosterol,,,,,,Best
Antioxidants,Beta,vulgaris,root,extract,,,Good
 Coloring Agents/Pigments,Beta,vulgaris,root,extract,,,Good
 Plant Extracts,Beta,vulgaris,root,extract,,,Good
Antioxidants,Betula,alba,,,,,Good
 Plant Extracts,Betula,alba,,,,,Good
Skin-Soothing,BHA,(beta,hydroxy,acid),,,Best
 Exfoliant,BHA,(beta,hydroxy,acid),,,Best
 Anti-Acne,BHA,(beta,hydroxy,acid),,,Best
Antioxidants,BHT,,,,,,Average
Miscellaneous,bifida,ferment,lysate,,,,Good
Plant Extracts,bilberry,extract,,,,,Good
Antioxidants,bioflavonoid,,,,,,Best
Vitamins,biotin,,,,,,Good
Antioxidants,birch,bark,extract,,,,Good
 Plant Extracts,birch,bark,extract,,,,Good
Antioxidants,birch,leaf,extract,,,,Good
 Plant Extracts,birch,leaf,extract,,,,Good
Skin-Soothing,bisabolol,,,,,,Best
 Plant Extracts,bisabolol,,,,,,Best
Texture Enhancer,bis-diglyceryl,polyacyladipate,,,,,Good
 Emollients,bis-diglyceryl,polyacyladipate,,,,,Good
Texture Enhancer,bismuth,oxychloride,,,,,Average
 Absorbent,bismuth,oxychloride,,,,,Average
Silicones,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
