scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
0.0,0.0,0.0,0.0,0.5331365379590088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13898151936441488,0.3135783406671179,0.18192347597522354,0.1963128550625721,0.40115521832400947,0.0021954149964535717,0.1638609586600497,0.12174775826951173,0.12400434999366783,0.08690689834542463,0.00700129686869944,0.11157869718419601,0.0
0.14056404551187018,0.3335100199267108,0.31010868728975677,0.2217569609755013,0.4653804029576147,0.0,0.13940472996195294,0.10989262549545106,0.10916214891843978,0.1787293112946399,0.0,0.09020346070853112,0.0
0.05993342793467293,0.30573143028084626,0.3144028603690413,0.2119164488067041,0.3751169251593203,0.0,0.20220098477585216,0.00034628432601884124,0.11365531543551913,0.11393011645040461,0.06109258499482513,0.09726124667814467,0.0
0.01921982700195938,0.3153964423770935,0.013772533314183391,0.013772533314183391,0.37976168868716254,0.0,0.19522173405021406,0.0005684336778832627,0.03843965400391876,0.001515823141022034,0.0,0.2162530862047059,0.0
0.26823215363678504,0.36472393755216714,0.38794876666645506,0.3696317972722033,0.2704093874728152,0.00028140206084456966,0.35066196745254335,0.01533521548215833,0.5182138693727235,0.3658705397192422,0.055416133244526315,0.04071167778928351,0.0
0.22743162291227598,0.2558929744792535,0.4376577090476661,0.3484533373225246,0.2694557301035435,0.016766205632487142,0.4617897090027212,0.025771997028441806,0.48181069742825045,0.34737236636234076,0.11676429040011643,0.05241380251177391,0.0
0.13315746967339237,0.19148593219319646,0.4132194931105721,0.28988056035948495,0.4896629768901923,0.012114187803974379,0.33623465732587854,0.040328482396928135,0.19843687709092817,0.23013704426455248,0.12518463750571238,0.039867792688588054,0.0
0.07187455404087909,0.4514028878261211,0.17036677297806663,0.16226245532294226,0.43109881237529707,0.012017825210742513,0.1936132309234131,0.048577939302521154,0.15277135933408317,0.02653413901953291,0.026566930208805878,0.1458006095129271,0.0
0.17109157373665784,0.2578284099206736,0.14551463204269965,0.15978768407567964,0.21010983099233677,0.02042765163620074,0.15361106845407124,0.19744055614432027,0.12643320689882387,0.07974242665141351,0.01834532596330737,0.1257262064973812,0.0
